name,crust,size,energy_kcal_100g,energy_kj_100g,fat_g_100g,sat_g_100g,carb_g_100g,sugars_g_100g,fibre_g_100g,protein_g_100g,salt_g_100g,sodium_g_100g,energy_kcal_serv,energy_kj_serv,fat_g_serv,sat_g_serv,carb_g_serv,sugars_g_serv,fibre_g_serv,protein_g_serv,salt_g_serv,sodium_g_serv,energy_kcal_rda,fat_rda,sat_rda,carb_rda,sugars_rda,fibre_rda,protein_rda,salt_rda,sodium_rda
Texas BBQ,Thin & Crispy Crust,Large,291,1225,10.8,4.4,31.7,13.5,3,15.7,1.53,0.6,468,1966,17.3,7.1,50.9,21.7,4.8,25.2,2.46,0.97,0.23,0.25,0.36,0.2,0.24,0.16,0.5,0.41,0.4
Texas BBQ,Thin & Crispy Crust,Medium,296,1242,11.1,4.4,34.3,13.3,3,13.5,1.58,0.62,427,1793,16,6.4,49.6,19.2,4.3,19.5,2.28,0.9,0.21,0.23,0.32,0.19,0.21,0.14,0.39,0.38,0.38
The Cheeseburger,Classic Crust,Large,239,1007,9.1,3.9,28,6.6,1.8,10.7,1.31,0.52,635,2673,24.2,10.4,74.3,17.5,4.7,28.3,3.48,1.37,0.32,0.35,0.52,0.29,0.19,0.16,0.57,0.58,0.57
The Cheeseburger,Classic Crust,Medium,247,1036,9.7,4.3,29.4,6.8,1.9,9.6,1.28,0.5,564,2367,22.2,9.8,67.1,15.5,4.4,22,2.93,1.15,0.28,0.32,0.49,0.26,0.17,0.15,0.44,0.49,0.48
The Cheeseburger,Classic Crust,Small,221,926,8.1,3.6,25.9,4.6,2.1,10.3,1.14,0.45,1023,4276,37.5,16.8,119.7,21.4,9.5,47.6,5.25,2.06,0.51,0.54,0.84,0.46,0.24,0.32,0.95,0.88,0.86
The Cheeseburger,Classic Crust,Personal,270,1136,8.7,3.7,38.2,6.6,1.9,8.9,1.35,0.53,587,2472,18.9,8,83.2,14.4,4.1,19.4,2.93,1.15,0.29,0.27,0.4,0.32,0.16,0.14,0.39,0.49,0.48
The Cheeseburger,Italian Style Crust,Large,231,970,9.7,4.2,23.2,7.4,1.8,11.9,1.35,0.53,525,2204,22.1,9.5,52.8,16.7,4.1,27,3.06,1.2,0.26,0.32,0.48,0.2,0.19,0.14,0.54,0.51,0.5
The Cheeseburger,Italian Style Crust,Medium,231,967,9.7,4.2,23.9,7.2,2,11,1.35,0.53,455,1907,19.2,8.2,47.1,14.2,3.9,21.8,2.66,1.05,0.23,0.27,0.41,0.18,0.16,0.13,0.44,0.44,0.44
The Cheeseburger,Italian Style Crust,Small,245,1027,9.8,4.4,28.4,4.5,1.7,10,1.37,0.54,893,3750,35.9,16.1,103.7,16.3,6.3,36.6,4.99,1.96,0.45,0.51,0.8,0.4,0.18,0.21,0.73,0.83,0.82
The Cheeseburger,Stuffed Crust,Large,226,947,9.4,4.5,24,6.8,3.5,9.8,1.23,0.48,682,2857,28.3,13.6,72.3,20.4,10.5,29.6,3.72,1.46,0.34,0.4,0.68,0.28,0.23,0.35,0.59,0.62,0.61
The Cheeseburger,Stuffed Crust,Medium,236,991,10.3,4.7,25.5,6.9,3.4,9,1.27,0.5,652,2734,28.3,12.9,70.3,19.2,9.4,24.7,3.51,1.38,0.33,0.4,0.64,0.27,0.21,0.31,0.49,0.58,0.57
The Cheeseburger,Thin & Crispy Crust,Large,246,1032,11.4,4.9,25.8,6.3,1.7,9.4,1.26,0.5,489,2050,22.7,9.7,51.2,12.5,3.4,18.6,2.51,0.99,0.24,0.32,0.48,0.2,0.14,0.11,0.37,0.42,0.41
The Cheeseburger,Thin & Crispy Crust,Medium,256,1072,11.8,5.1,26,6.2,1.6,10.7,1.58,0.62,449,1881,20.7,8.9,45.7,10.9,2.8,18.9,2.77,1.09,0.22,0.3,0.44,0.18,0.12,0.09,0.38,0.46,0.45
The Beef Doner,Classic Crust,Large,235,990,8.2,4,28.9,6,1.9,10.8,1.31,0.52,584,2459,20.3,9.8,71.7,14.9,4.8,26.8,3.26,1.28,0.29,0.29,0.49,0.28,0.17,0.16,0.54,0.54,0.53
The Beef Doner,Classic Crust,Medium,242,1018,8.7,4.4,30.3,6.2,2.1,9.7,1.29,0.51,517,2174,18.7,9.3,64.8,13.1,4.6,20.7,2.76,1.08,0.26,0.27,0.46,0.25,0.15,0.15,0.41,0.46,0.45
